Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,TN,TX,TAVG,RR,FF_AVG
Gorontalo,BONE BOLANGO,Bulawa,Pinomotiga,11-09-2024,11:36 WIB,NASA-NOAA20,High,0,3824,,,,,
Gorontalo,GORONTALO,Bilato,Bilato,11-09-2024,11:36 WIB,NASA-NOAA20,High,0,54701,21.2,33.3,27.8,0.0,3.0
Gorontalo,GORONTALO,Limboto Barat,Daenaa,06-09-2024,11:29 WIB,NASA-NOAA20,High,0,69777,24.6,33.8,28.9,0.0,3.0
Gorontalo,BONE BOLANGO,Bonepantai,Pelita Hijau,04-09-2024,12:08 WIB,NASA-NOAA20,Medium,0,41295,,,,,
Gorontalo,BONE BOLANGO,Bonepantai,Pelita Hijau,10-09-2024,11:55 WIB,NASA-NOAA20,Medium,0,41586,,,,,
Gorontalo,BONE BOLANGO,Bonepantai,Pelita Hijau,11-09-2024,11:36 WIB,NASA-NOAA20,Medium,0,41653,,,,,
Gorontalo,BONE BOLANGO,Bonepantai,Pelita Hijau,24-10-2024,11:29 WIB,NASA-NOAA20,Medium,0,42637,23.2,,,0.0,1.0
Gorontalo,BONE BOLANGO,Bonepantai,Tunas Jaya,11-09-2024,11:36 WIB,NASA-NOAA20,Medium,0,41201,,,,,
Gorontalo,BONE BOLANGO,Bulango Ulu,Mongiilo Utara,02-11-2024,12:01 WIB,NASA-NOAA20,Medium,0,67587,23.8,,,0.0,1.0
Gorontalo,BONE BOLANGO,Bulango Ulu,Mongiilo Utara,31-12-2024,11:53 WIB,NASA-NOAA20,Medium,0,70223,24.0,,,0.0,0.0
Gorontalo,BONE BOLANGO,Bulango Ulu,Owata,28-10-2024,11:55 WIB,NASA-NOAA20,Medium,0,64888,23.8,,,0.0,2.0
Gorontalo,BONE BOLANGO,Bulawa,Kaidundu Barat,16-09-2024,11:42 WIB,NASA-NOAA20,Medium,0,39768,,,,,
Gorontalo,GORONTALO,Asparaga,Bontula,05-10-2024,12:57 WIB,NASA-MODIS,Medium,0,84019,24.4,33.8,28.5,0.4,2.0
Gorontalo,GORONTALO,Limboto Barat,Daenaa,15-08-2024,13:03 WIB,NASA-MODIS,Medium,0,70285,22.4,33.3,27.6,8888.0,3.0
Gorontalo,GORONTALO,Asparaga,Bihe,19-09-2024,12:25 WIB,NASA-NOAA20,Medium,0,825,23.4,35.7,28.8,0.0,1.0
Gorontalo,GORONTALO,Asparaga,Karya Indah,01-08-2024,12:46 WIB,NASA-NOAA20,Medium,0,77907,23.9,32.8,28.3,0.0,3.0
Gorontalo,GORONTALO,Asparaga,Mohiyolo,17-08-2024,12:46 WIB,NASA-NOAA20,Medium,0,77041,23.1,33.3,27.0,0.0,1.0
Gorontalo,GORONTALO,Bilato,Bilato,27-10-2024,12:14 WIB,NASA-NOAA20,Medium,0,54339,24.8,34.2,29.3,0.0,2.0
Gorontalo,GORONTALO,Bilato,Bumela,16-09-2024,11:42 WIB,NASA-NOAA20,Medium,0,58763,23.3,33.8,27.9,0.0,2.0
Gorontalo,GORONTALO,Bilato,Bumela,29-10-2024,11:36 WIB,NASA-NOAA20,Medium,0,59082,24.0,34.7,28.6,0.0,2.0
Gorontalo,GORONTALO,Bilato,Ilomata,09-11-2024,11:29 WIB,NASA-NOAA20,Medium,0,52717,23.7,34.1,27.6,65.3,2.0
Gorontalo,GORONTALO,Bilato,Lamahu,03-12-2024,12:20 WIB,NASA-NOAA20,Medium,0,61284,25.8,33.8,29.7,0.1,2.0
Gorontalo,GORONTALO,Bilato,Taula'a,08-09-2024,12:31 WIB,NASA-NOAA20,Medium,0,51661,23.9,34.6,28.8,8888.0,2.0
Gorontalo,GORONTALO,Bilato,Taula'a,11-09-2024,11:36 WIB,NASA-NOAA20,Medium,0,51952,21.2,33.3,27.8,0.0,3.0
